filepath,score
VaultSync/src/src/cli/cli_main.rs,0.0
libutf/test/utf8/utf16_length.rs,0.0
VaultSync/src/src/crypto/hashing.rs,0.0
libutf/test/utf16/utf8_length.rs,1.0
amp/src/amp.rs,0.0
kairoCompiler/src/helpers/buffer.rs,0.0
quadtree/src/node.rs,0.0
libutf/test/utf16/validate.rs,0.0
VaultSync/src/src/cli/cli_vm.rs,0.5
Holdem-Odds/src/cards.rs,1.0
cissy/test/test_csvfield.rs,1.0
expr/src/test.rs,1.0
amp/tests/test.rs,1.0
matrix_multiplication/src/main.rs,1.0
file2str/src/file2str.rs,0.0
kairoCompiler/src/lex_process.rs,0.0
simple_lang/src/LangKernel/main.rs,0.0
simple_lang/src/LangKernel/vm.rs,1.0
libutf/test/utf16/validate_invalid.rs,1.0
libutf/test/utf8/validate.rs,1.0
cissy/src/csvfield.rs,0.0
libutf/test/utf8/string_append.rs,1.0
libm17/src/m17.rs,1.0
chtrie/src/chtrie.rs,0.5
libutf/src/utf8/validate.rs,0.0
libutf/test/utf8/string_prepend.rs,1.0
libutf/src/utf16/convert_to_utf8.rs,0.0
libutf/test/utf8/string_substring.rs,1.0
impcheck/src/trusted/main_confirm.rs,0.0
kairoCompiler/src/cprocess.rs,0.0
libutf/src/utf8/convert_to_utf32.rs,0.0
libutf/src/utf8/convert_to_utf16.rs,0.0
impcheck/src/trusted/top_check.rs,0.0
libvcd/test/test.rs,0.0
impcheck/src/trusted/trusted_parser.rs,1.0
simple_lang/src/LangKernel/compiler.rs,0.0
Holdem-Odds/src/holdemodds.rs,0.0
cissy/src/csvline.rs,0.0
kairoCompiler/src/compiler.rs,0.0
libutf/test/utf8/string_replace.rs,1.0
libutf/test/utf16/utf8_convert.rs,1.0
impcheck/src/trusted/vectors.rs,0.0
Simple-Config/src/example.rs,0.5
impcheck/src/trusted/hash.rs,0.5
Graph-recogniser/src/log.rs,1.0
c-aces/src/Matrix.rs,0.0
libutf/test/utf8/validate_invalid.rs,1.0
jccc/src/util/list.rs,0.5
impcheck/test/test_hash.rs,0.0
libutf/test/utf8/utf16_convert.rs,1.0
simple_lang/src/LangKernel/parser.rs,1.0
murmurhash_c/src/main.rs,1.0
rubiksolver/src/solve_rubik.rs,1.0
rubiksolver/src/heap/heap.rs,1.0
rubiksolver/src/hash/hash.rs,1.0
simple_lang/src/Tests/test_lexer.rs,1.0
simple_lang/src/Tests/test_compiler.rs,0.0
quadtree/src/quadtree.rs,0.0
Holdem-Odds/src/hands.rs,0.0
kd3/src/run_test.rs,0.5
simple_lang/src/LangKernel/lexer.rs,1.0
Math-Library-in-C/src/castom_math.rs,0.0
ted/src/buffer/gap.rs,0.0
jccc/src/driver/main.rs,0.0
simple_lang/src/LangKernel/misc.rs,1.0
c-aces/src/Polynomial.rs,0.0
Graph-recogniser/src/openhash.rs,1.0
simple_lang/src/Tests/test_parser.rs,0.0
NandC/src/test.rs,1.0
kairoCompiler/src/parser.rs,0.0
libm17/src/payload/payload.rs,0.0
jccc/src/codegen/x86/codegen.rs,1.0
libm17/src/decode/decode.rs,1.0
btree-map/src/btree.rs,1.0
c-aces/src/Aces_internal.rs,0.0
ted/src/buffer/buffer.rs,0.0
totp/src/totp.rs,0.0
csyncmers/src/benchmark.rs,1.0
impcheck/src/trusted/trusted_checker.rs,0.0
rubiksolver/src/rubik_model_tests.rs,0.5
c-aces/src/Aces.rs,1.0
jccc/src/util/hashmap.rs,0.5
hydra/src/hydra.rs,1.0
impcheck/src/trusted/siphash.rs,1.0
csyncmers/src/test.rs,1.0
utf8/src/utf8.rs,1.0
libvcd/src/vcd.rs,0.5
gorilla-paper-encode/src/custom_tests/test.rs,0.0
impcheck/src/trusted/trusted_utils.rs,1.0
cJSON/tests/main.rs,0.0
file2str/src/tests/CuTest.rs,0.5
cissy/src/range.rs,0.0
jccc/src/parser/parse.rs,0.0
impcheck/src/trusted/lrat_check.rs,0.0
cissy/test/test_range.rs,1.0
kairoCompiler/src/helpers/vector.rs,0.5
impcheck/test/test_full.rs,1.0
Graph-recogniser/src/cuckoohash.rs,0.0
LTRE/src/ltrep.rs,1.0
libm17/src/encode/encode.rs,1.0
totp/src/test.rs,0.0
libm17/src/math/math.rs,0.0
quadtree/test.rs,1.0
Simple-Sparsehash/src/simple_sparsehash.rs,0.5
libm17/src/phy/phy.rs,1.0
c-blind-rsa-signatures/src/test_blind_rsa.rs,0.0
approxidate/src/approxidate_test.rs,1.0
hamta/src/hamta.rs,0.5
kd3/src/kd3/kdtree.rs,1.0
carrays/src/carrays.rs,0.0
ted/src/tests/runtests.rs,1.0
gorilla-paper-encode/src/gorilla.rs,1.0
ted/src/app/main.rs,1.0
btree-map/tests/test.rs,0.0
cissy/src/cissy.rs,1.0
libutf/src/utf8/string.rs,0.0
Simple-Sparsehash/src/test.rs,0.0
Simple-Config/src/config.rs,0.0
rubiksolver/src/rubik_model.rs,1.0
clog/src/clog_test_c.rs,1.0
kairoCompiler/src/lexer.rs,0.0
c-blind-rsa-signatures/src/blind_rsa.rs,1.0
jccc/src/lexer/lex.rs,1.0
lib2bit/src/2bit.rs,0.0
approxidate/src/approxidate.rs,0.0
utf8/tests/test.rs,0.0
cJSON/src/cJSON.rs,0.5
expr/src/mapper_expr.rs,1.0
LTRE/src/ltre.rs,1.0
carrays/tests/test.rs,1.0
merkle-tree-c/src/test_merkle_tree.rs,1.0
cset/src/test.rs,1.0
