c_project_folder,c_build_status,rust_project_folder,rust_transpile_status
datasets/CBench/csyncmers,OK,csyncmers,OK
datasets/CBench/dict,OK,dict,"Command '['c2rust', 'transpile', '-o', PosixPath('/Users/sourya/work/Tractor/converted_rust_projects/c2rust_CRUST-Bench/dict'), '--overwrite-existing', PosixPath('/Users/sourya/work/Tractor/CRUST-bench/datasets/CBench/dict/build/compile_commands.json')]' returned non-zero exit status 101."
datasets/CBench/emlang,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/expr,OK,expr,OK
datasets/CBench/fft,OK,fft,"Command '['c2rust', 'transpile', '-o', PosixPath('/Users/sourya/work/Tractor/converted_rust_projects/c2rust_CRUST-Bench/fft'), '--overwrite-existing', PosixPath('/Users/sourya/work/Tractor/CRUST-bench/datasets/CBench/fft/build/compile_commands.json')]' returned non-zero exit status 101."
datasets/CBench/file2str,OK,file2str,OK
datasets/CBench/fleur,"Command '['cmake', '-DCMAKE_EXPORT_COMPILE_COMMANDS=1', '..']' returned non-zero exit status 1.",,
datasets/CBench/fs_c,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/fslib,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/geofence,OK,geofence,OK
datasets/CBench/gfc,OK,gfc,"Command '['c2rust', 'transpile', '-o', PosixPath('/Users/sourya/work/Tractor/converted_rust_projects/c2rust_CRUST-Bench/gfc'), '--overwrite-existing', PosixPath('/Users/sourya/work/Tractor/CRUST-bench/datasets/CBench/gfc/build/compile_commands.json')]' returned non-zero exit status 101."
datasets/CBench/gorilla-paper-encode,OK,gorilla-paper-encode,OK
datasets/CBench/hamta,OK,hamta,OK
datasets/CBench/hydra,OK,hydra,OK
datasets/CBench/impcheck,OK,impcheck,OK
datasets/CBench/inversion_list,"Command '['cmake', '-DCMAKE_EXPORT_COMPILE_COMMANDS=1', '..']' returned non-zero exit status 1.",,
datasets/CBench/jccc,OK,jccc,OK
datasets/CBench/kairoCompiler,OK,kairoCompiler,OK
datasets/CBench/kd3,OK,kd3,OK
datasets/CBench/lambda-calculus-eval,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/leftpad,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/lib2bit,OK,lib2bit,OK
datasets/CBench/libbase122,"Command '['cmake', '-DCMAKE_EXPORT_COMPILE_COMMANDS=1', '..']' returned non-zero exit status 1.",,
datasets/CBench/libbeaufort,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/libfor,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/libm17,OK,libm17,OK
datasets/CBench/libpgn,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/libpsbt,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/libqueue,OK,libqueue,OK
datasets/CBench/libtinyfseq,"Command '['cmake', '-DCMAKE_EXPORT_COMPILE_COMMANDS=1', '..']' returned non-zero exit status 1.",,
datasets/CBench/libutf,OK,libutf,OK
datasets/CBench/libvcd,OK,libvcd,OK
datasets/CBench/libwecan,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/ljmm,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/matrix_multiplication,OK,matrix_multiplication,"Command '['c2rust', 'transpile', '-o', PosixPath('/Users/sourya/work/Tractor/converted_rust_projects/c2rust_CRUST-Bench/matrix_multiplication'), '--overwrite-existing', PosixPath('/Users/sourya/work/Tractor/CRUST-bench/datasets/CBench/matrix_multiplication/build/compile_commands.json')]' returned non-zero exit status 101."
datasets/CBench/mdb,"Command '['cmake', '-DCMAKE_EXPORT_COMPILE_COMMANDS=1', '..']' returned non-zero exit status 1.",,
datasets/CBench/merkle-tree-c,OK,merkle-tree-c,OK
datasets/CBench/morton,OK,morton,OK
datasets/CBench/murmurhash_c,OK,murmurhash_c,OK
datasets/CBench/mvptree,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/quadtree,OK,quadtree,OK
datasets/CBench/razz_simulation,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/rbtree-lab,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/recordManager,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/rect_pack_h,"Build failed, 'compile_commands.json' not created in /Users/sourya/work/Tractor/CRUST-bench/datasets/CBench/rect_pack_h/build/",,
datasets/CBench/rhbloom,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/roaring-bitmap,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/rubiksolver,OK,rubiksolver,OK
datasets/CBench/satc,OK,satc,OK
datasets/CBench/simple_lang,OK,simple_lang,OK
datasets/CBench/skp,"Command '['bear', '--', 'make', '-C', '..']' timed out after 10 seconds",,
datasets/CBench/ted,OK,ted,OK
datasets/CBench/tisp,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/totp,OK,totp,OK
datasets/CBench/ulidgen,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/utf8,OK,utf8,OK
datasets/CBench/vec,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
datasets/CBench/worsp,"Command '['bear', '--', 'make', '-C', '..']' returned non-zero exit status 2.",,
